model,cor.model,auc.model,oldRange,newRange,areaLoss,areaGain,species,iter
gf85,0.356474991,0.827945665,0.578337476,0.645308343,0.023497004,0.090467871,Erebia.epipsodea,10
he26,0.356474991,0.827945665,0.578337476,0.648466336,0.0149481,0.085076959,Erebia.epipsodea,10
he45,0.356474991,0.827945665,0.578337476,0.654571707,0.019152647,0.095386877,Erebia.epipsodea,10
he85,0.356474991,0.827945665,0.578337476,0.657331222,0.023099225,0.102092971,Erebia.epipsodea,10
mg26,0.356474991,0.827945665,0.578337476,0.595737225,0.010831483,0.028231232,Erebia.epipsodea,10
mg45,0.356474991,0.827945665,0.578337476,0.592030047,0.021655092,0.035347663,Erebia.epipsodea,10
mg85,0.356474991,0.827945665,0.578337476,0.629341687,0.008598423,0.059602634,Erebia.epipsodea,10
mp26,0.356474991,0.827945665,0.578337476,0.61646705,0.011525232,0.049654806,Erebia.epipsodea,10
mp45,0.356474991,0.827945665,0.578337476,0.610679632,0.02309012,0.055432276,Erebia.epipsodea,10
mp85,0.356474991,0.827945665,0.578337476,0.645318997,0.01348598,0.080467501,Erebia.epipsodea,10
gf26,0.375466492,0.864504986,0.47005308,0.43730601,0.056700924,0.023953854,parnassius.clean,1
gf45,0.375466492,0.864504986,0.47005308,0.451284616,0.047039749,0.028271285,parnassius.clean,1
gf85,0.375466492,0.864504986,0.47005308,0.465263221,0.037378574,0.032588715,parnassius.clean,1
he26,0.375466492,0.864504986,0.47005308,0.502932412,0.017588703,0.050468035,parnassius.clean,1
he45,0.375466492,0.864504986,0.47005308,0.504873323,0.02605014,0.060870383,parnassius.clean,1
he85,0.375466492,0.864504986,0.47005308,0.498483374,0.035939506,0.0643698,parnassius.clean,1
mg26,0.375466492,0.864504986,0.47005308,0.490072585,0.009798999,0.029818503,parnassius.clean,1
mg45,0.375466492,0.864504986,0.47005308,0.48522952,0.018581908,0.033758347,parnassius.clean,1
mg85,0.375466492,0.864504986,0.47005308,0.528408794,0.007019537,0.065375251,parnassius.clean,1
mp26,0.375466492,0.864504986,0.47005308,0.490190151,0.022098771,0.042235842,parnassius.clean,1
mp45,0.375466492,0.864504986,0.47005308,0.499305574,0.020046906,0.049299399,parnassius.clean,1
mp85,0.375466492,0.864504986,0.47005308,0.511657578,0.019672244,0.061276742,parnassius.clean,1
gf26,0.347480602,0.83433752,0.439973889,0.413686848,0.062367241,0.0360802,parnassius.clean,2
gf45,0.347480602,0.83433752,0.439973889,0.436612669,0.043020841,0.039659621,parnassius.clean,2
gf85,0.347480602,0.83433752,0.439973889,0.446456732,0.043541991,0.050024834,parnassius.clean,2
he26,0.347480602,0.83433752,0.439973889,0.473798446,0.026837547,0.060662105,parnassius.clean,2
he45,0.347480602,0.83433752,0.439973889,0.482369192,0.035453137,0.07784844,parnassius.clean,2
he85,0.347480602,0.83433752,0.439973889,0.477305027,0.046401113,0.083732252,parnassius.clean,2
mg26,0.347480602,0.83433752,0.439973889,0.466336934,0.010165836,0.036528882,parnassius.clean,2
mg45,0.347480602,0.83433752,0.439973889,0.463170728,0.019721704,0.042918543,parnassius.clean,2
mg85,0.347480602,0.83433752,0.439973889,0.508805798,0.008754326,0.077586235,parnassius.clean,2
mp26,0.347480602,0.83433752,0.439973889,0.468452503,0.022686104,0.051164717,parnassius.clean,2
mp45,0.347480602,0.83433752,0.439973889,0.472490811,0.027581214,0.060098136,parnassius.clean,2
mp85,0.347480602,0.83433752,0.439973889,0.493812444,0.029154063,0.082992619,parnassius.clean,2
gf26,0.366537042,0.853830074,0.447639632,0.430617602,0.055758791,0.03873676,parnassius.clean,3
gf45,0.366537042,0.853830074,0.447639632,0.448928761,0.045116383,0.046405511,parnassius.clean,3
